image_id,landmark_id,x,y,z
101679_f_0,0,0.5367875695228577,0.6471673846244812,-0.11347802728414536
101679_f_0,1,0.5424918532371521,0.5580073595046997,-0.19796191155910492
101679_f_0,2,0.5391971468925476,0.5883373618125916,-0.10655219107866287
101679_f_0,3,0.5093286633491516,0.462351530790329,-0.14491701126098633
101679_f_0,4,0.5431013107299805,0.5274257659912109,-0.20896609127521515
101679_f_0,5,0.5422362685203552,0.48912933468818665,-0.19211187958717346
101679_f_0,6,0.5389851927757263,0.39770546555519104,-0.08835767209529877
101679_f_0,7,0.27462324500083923,0.38843414187431335,0.04703119769692421
101679_f_0,8,0.5364640951156616,0.3271113634109497,-0.06185733154416084
101679_f_0,9,0.5367209315299988,0.28725719451904297,-0.06800138205289841
101679_f_0,10,0.5345575213432312,0.1409190148115158,-0.01640315353870392
101679_f_0,11,0.5364742875099182,0.6617699265480042,-0.10999685525894165
101679_f_0,12,0.5359530448913574,0.6773321628570557,-0.09831459820270538
101679_f_0,13,0.5345074534416199,0.6885870099067688,-0.08085761964321136
101679_f_0,14,0.5344815850257874,0.6909837126731873,-0.08068643510341644
101679_f_0,15,0.5341384410858154,0.7050477862358093,-0.08587031811475754
101679_f_0,16,0.5338889360427856,0.7231325507164001,-0.09352939575910568
101679_f_0,17,0.5321045517921448,0.7420544624328613,-0.08767933398485184
101679_f_0,18,0.5315369963645935,0.7788016200065613,-0.050643421709537506
101679_f_0,19,0.5411701202392578,0.5744515061378479,-0.17988640069961548
101679_f_0,20,0.5064735412597656,0.5742008090019226,-0.13114622235298157
101679_f_0,21,0.14114561676979065,0.28198739886283875,0.22429409623146057
101679_f_0,22,0.37172406911849976,0.41561174392700195,0.012379534542560577
101679_f_0,23,0.33695316314697266,0.41825851798057556,0.012800023891031742
101679_f_0,24,0.3029836416244507,0.4171532690525055,0.021301716566085815
101679_f_0,25,0.25968658924102783,0.40041446685791016,0.051114797592163086
101679_f_0,26,0.4020073413848877,0.40888506174087524,0.017523251473903656
101679_f_0,27,0.32053637504577637,0.32953038811683655,-0.0017986631719395518
101679_f_0,28,0.36187219619750977,0.33341649174690247,0.0006039293948560953
101679_f_0,29,0.2831004559993744,0.3351458013057709,0.00835488736629486
101679_f_0,30,0.25922462344169617,0.34720155596733093,0.02275754325091839
101679_f_0,31,0.23004737496376038,0.4206591546535492,0.06754488497972488
101679_f_0,32,0.3986961841583252,0.8269614577293396,-0.01761544682085514
101679_f_0,33,0.26265427470207214,0.3801734745502472,0.05878729000687599
101679_f_0,34,0.12379142642021179,0.41048482060432434,0.2291431725025177
101679_f_0,35,0.18821397423744202,0.40149274468421936,0.10428385436534882
101679_f_0,36,0.3523597717285156,0.5369840264320374,-0.030644044280052185
101679_f_0,37,0.49222421646118164,0.6392568945884705,-0.11032445728778839
101679_f_0,38,0.4971539378166199,0.67652827501297,-0.09497980028390884
101679_f_0,39,0.4461641311645508,0.6532941460609436,-0.09187614917755127
101679_f_0,40,0.4183284044265747,0.6687460541725159,-0.06748901307582855
